Song Name,Artist Name,Release Date (Spotify),Popularity Score (Spotify),Genre
"High Rated Gabru (From ""Nawabzaade"")",Guru Randhawa,2018-06-28,64,"['pop', 'uk pop']"
Old Town Road,Lil Nas X,2019-06-21,77,"['filmi', 'modern bollywood']"
PILLOWTALK,ZAYN,2016-03-25,80,"['alternative rock', 'athens indie', 'permanent wave', 'rock']"
Losing My Religion,R.E.M.,1991-03-12,87,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']"
Hot N Cold,Katy Perry,2008-06-17,77,"['latin pop', 'modern salsa', 'salsa', 'tropical']"
Vivir Mi Vida,Marc Anthony,2013-07-23,78,['lgbtq+ hip hop']
Stay With Me,Sam Smith,2014-05-26,86,['pop']
Eres Mía,Romeo Santos,2014-02-25,80,"['pop', 'uk pop']"
The Final Countdown,Europe,1986,79,"['album rock', 'glam metal', 'hard rock', 'rock', 'swedish hard rock', 'swedish melodic rock']"
Break Free,Ariana Grande,2014-08-25,78,['pop']
Cham Cham,Hommie Dilliwala,2023-08-01,25,[]
Mirrors,Justin Timberlake,2013-03-15,84,"['dance pop', 'pop']"
Wrecking Ball,Miley Cyrus,2013-10-04,82,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'permanent wave', 'post-grunge', 'rock', 'supergroup']"
Turn Down for What,DJ Snake,2013-12-18,72,['pop']
Sign of the Times,Harry Styles,2017-05-12,85,['pop']
Like a Stone,Audioslave,2002-11-17,80,['pop']
Play Hard (feat. Ne-Yo & Akon),David Guetta,2012-12-07,74,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']"
Grenade,Bruno Mars,2010-10-05,80,"['emo rap', 'miami hip hop', 'pop rap', 'rap', 'trap']"
no tears left to cry,Ariana Grande,2018-08-17,79,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']"
Gucci Gang,Lil Pump,2017-10-06,65,"['dance pop', 'pop']"
SICKO MODE,Travis Scott,2018-08-03,86,"['hip hop', 'rap', 'slap house']"
I Feel It Coming (Originally Performed by the Weeknd Ft. Daft Punk) - Instrumental Version,Hit The Button Karaoke,2016-12-23,2,['karaoke']
Never Say Never,Justin Bieber,2011-01-01,75,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Borro Cassette,Maluma,2015-10-30,81,"['dance pop', 'pop']"
The Scientist,Coldplay,2002-08-08,87,"['spanish pop', 'spanish pop rock']"
Destino o casualidad,Melendi,2018-05-01,75,"['canadian pop', 'pop']"
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,2017-08-11,75,"['permanent wave', 'pop']"
Smack That,Akon,2006-01-01,87,['dance pop']
Ai Se Eu Te Pego,Michel Teló,2019-08-01,63,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
Fancy,Iggy Azalea,2014-01-01,70,"['brostep', 'edm', 'pop', 'progressive electro house']"
Happier,Marshmello,2018-08-17,85,"['dance pop', 'pop']"
FRIENDS,Marshmello,2018-02-09,80,['new wave pop']
In My Mind,Dynoro,2018-06-08,81,['comic']
"Happy - From ""Despicable Me 2""",Pharrell Williams,2014-03-03,82,"['dfw rap', 'melodic rap', 'pop', 'rap']"
Waiting For Love,Avicii,2015-10-02,83,['electro house']
Safari,J Balvin,2016-06-24,72,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
rockstar (feat. 21 Savage),Post Malone,2018-04-27,85,"['glam metal', 'rock']"
Careless Whisper,George Michael,1998-11-09,84,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Culpables,KAROL G,2018-09-14,71,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
The Spectre,Alan Walker,2017-09-15,78,['karaoke']
The Fox (What Does the Fox Say?),Ylvis,2013-09-02,66,"['hip pop', 'pop', 'queens hip hop', 'rap']"
Filhall,B Praak,2019-11-07,68,"['emo rap', 'miami hip hop', 'rap']"
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,2017-06-22,78,"['dance pop', 'latin pop', 'mexican pop']"
Livin' On A Prayer,Bon Jovi,1986-08-16,87,"['reggaeton', 'trap latino', 'urbano latino']"
Travesuras,Nicky Jam,2014-01-27,68,"['modern rock', 'pop', 'rock']"
Let Me Love You,DJ Snake,2016-08-05,86,"['reggaeton', 'trap latino', 'urbano latino']"
Californication,Red Hot Chili Peppers,1999-06-08,86,"['desi pop', 'filmi', 'punjabi pop']"
Stay (Made Popular By Rihanna ft. Mikky Ekko) [Vocal Version],Party Tyme Karaoke,2020-08-07,8,"['baroque pop', 'metropopolis']"
Bodak Yellow,Cardi B,2018-04-06,74,"['barbadian pop', 'pop', 'urban contemporary']"
Anaconda,Nicki Minaj,2014-12-15,69,"['arab pop', 'moroccan pop', 'rif', 'shaabi']"
Tal Vez,Paulo Londra,2019-05-23,79,"['australian hip hop', 'dance pop', 'pop']"
Moonlight,XXXTENTACION,2018-03-16,84,"['brostep', 'edm', 'pop', 'progressive electro house']"
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,2016-04-18,69,['edm']
Amorfoda,Bad Bunny,2018-02-15,77,"['dance pop', 'edm', 'pop', 'pop dance']"
We Are Young (feat. Janelle Monáe),fun.,2012-02-14,79,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']"
Demons,Imagine Dragons,2012-09-04,87,['musica para ninos']
Callaita,Bad Bunny,2022-05-06,78,"['dance pop', 'miami hip hop', 'pop']"
Lamaallem,Saad Lamjarred,2015-05-02,62,"['dance pop', 'pop']"
Diles,Bad Bunny,2016-08-26,82,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
We Found Love,Rihanna,2011-11-18,86,"['canadian pop', 'pop']"
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,2016-10-07,77,"['dance pop', 'metropopolis', 'pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']"
Adicto (with Anuel AA & Ozuna),Tainy,2019-08-22,77,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']"
El Baile del Gorila,CantaJuego,2021-03-26,37,"['hip hop', 'miami hip hop', 'pop rap', 'rap']"
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,2011-06-17,85,[]
Havana (feat. Young Thug),Camila Cabello,2018-01-12,81,['sped up']
Stay High - Habits Remix,Tove Lo,2014-09-24,68,"['reggaeton', 'trap latino', 'urbano latino']"
Beauty And A Beat,Justin Bieber,2012-06-15,81,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']"
Bad (feat. Vassy) - Radio Edit,David Guetta,2014-04-06,66,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
"Guru Randhawa Mashup, Vol. 02",Venkat's Music,2020-11-18,9,"['album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'rock']"
Dernière Danse (TikTok Sped Up) - Remix,Music Factory,2023-04-03,59,"['dance pop', 'pop', 'pop rap']"
Vaina Loca,Ozuna,2018-08-24,78,"['latin arena pop', 'latin pop', 'mexican pop', 'reggaeton', 'urbano latino']"
Wind Of Change,Scorpions,1990-01-01,81,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
RITMO (Bad Boys For Life),Black Eyed Peas,2019-10-12,73,['emo rap']
Me Niego (feat. Ozuna & Wisin),Reik,2019-05-31,74,['pop']
One More Night,Maroon 5,2012-01-01,80,[]
Sin Contrato,Maluma,2015-10-30,68,[]
Bella Bella - Original Mix,KiRiK,2023-11-17,15,"['dfw rap', 'melodic rap', 'pop', 'rap']"
Daru Badnaam,Meet singh,2023-04-20,0,"['latin pop', 'mexican pop']"
FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,2018,70,"['pop', 'rap']"
White Iverson,Post Malone,2016-12-09,80,"['reggaeton', 'trap latino', 'urbano latino']"
Desde Esa Noche (feat. Maluma),Thalia,2016-05-06,68,"['dfw rap', 'melodic rap', 'pop', 'rap']"
Soy Peor,Bad Bunny,2016-12-08,76,"['pop rap', 'seattle hip hop']"
Psycho (feat. Ty Dolla $ign),Post Malone,2018-04-27,79,"['dance pop', 'dance rock', 'permanent wave', 'pop rock', 'rock']"
They Don't Care About Us,Michael Jackson,1995-06-16,76,"['r&b', 'soul']"
Don't Speak,No Doubt,1995-10-10,80,"['boy band', 'pop', 'post-teen pop', 'talent show']"
Can't Hold Us - Live From Spotify NYC feat. Ray Dalton,Macklemore & Ryan Lewis,2013-04-29,43,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Drag Me Down,One Direction,2015-11-13,81,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']"
Por Fin Te Encontré,Cali Y El Dandee,2015-09-24,73,"['dance pop', 'pop']"
Cold Water (feat. Justin Bieber & MØ),Major Lazer,2016-07-22,61,"['alternative metal', 'funk metal', 'nu metal', 'pop rock', 'post-grunge']"
Hawái - Remix,Maluma,2020-11-05,69,"['colombian pop', 'electro latino', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Locked out of Heaven,Bruno Mars,2012-12-07,91,"['desi hip hop', 'desi pop']"
The Reason,Hoobastank,2003-12-09,83,"['british soul', 'neo soul']"
Scream & Shout,will.i.am,2013-01-01,80,['pop']
Back To Black,Amy Winehouse,2006,82,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']"
Bom Diggy Diggy,Zack Knight,2018-02-08,69,['haryanvi pop']
You Are The Reason,Calum Scott,2018-03-09,81,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Say My Name,David Guetta,2018-09-14,71,"['dance pop', 'pop']"
Ahora Me Llama,KAROL G,2017-10-27,74,"['europop', 'new wave pop', 'soft rock']"
Chatak Matak,Renuka Panwar,2020-12-24,61,['dance pop']
Total Eclipse of the Heart,Bonnie Tyler,2009-03-26,82,['pop']
Lonely,Akon,2005-01-01,81,"['latin pop', 'pop venezolano', 'reggaeton', 'trap latino', 'urbano latino']"
Into You,Ariana Grande,2016-04-01,81,"['latin arena pop', 'latin pop', 'mexican pop']"
FRIENDS,Marshmello,2018-02-09,80,"['brostep', 'edm', 'pop', 'progressive electro house']"
"Perdón, Perdón - HA-ASH Primera Fila - Hecho Realidad [En Vivo]",Ha*Ash,2014-11-11,73,"['argentine hip hop', 'trap argentino', 'trap latino', 'urbano latino']"
Báilame - Remix,Nacho,2018-05-11,71,['dance pop']
Love Me Again,John Newman,2013-01-01,79,"['belgian pop', 'g-house']"
Dueles,Jesse & Joy,2015-12-04,83,"['latin arena pop', 'latin pop', 'mexican pop']"
Papaoutai,Stromae,2013-01-01,75,['pop dance']
Si Tu Novio Te Deja Sola,J Balvin,2017-03-03,78,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Ego - Radio Edit,Willy William,2016-03-18,65,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
EL MAKINON,KAROL G,2021-03-26,79,"['dance pop', 'pop', 'pop rap']"
Sexy And I Know It,LMFAO,2011-01-01,70,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
Síguelo Bailando,Ozuna,2017-08-25,75,"['girl group', 'pop', 'talent show', 'uk pop']"
Super Bass,Nicki Minaj,2010-11-22,82,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
Black Magic,Little Mix,2015-11-06,76,"['hip pop', 'pop', 'queens hip hop', 'rap']"
Perro Fiel (feat. Nicky Jam),Shakira,2017-05-26,71,"['indietronica', 'modern alternative rock', 'modern rock', 'rock']"
Wide Awake,Katy Perry,2012-03-12,80,"['r&b', 'soul']"
Where Is the Love? (Orginally Performed by Black Eyed Peas & Justin Timberlake) [Karaoke Version],The Karaoke Channel,2015-12-11,0,['karaoke']
Rolex,Ayo & Teo,2017-03-15,72,"['trap', 'viral rap', 'viral trap']"
Beat It,Michael Jackson,2008-02-08,79,['pop']
Pumped Up Kicks,Foster The People,2011-05-23,85,"['reggae fusion', 'virgin islands reggae']"
Locked Away (feat. Adam Levine),R. City,2015-06-29,63,"['barbadian pop', 'pop', 'urban contemporary']"
What's My Name?,Rihanna,2010-11-16,68,"['boy band', 'pop', 'post-teen pop', 'talent show']"
Story of My Life,One Direction,2013-11-25,85,"['pop', 'uk dance', 'uk funky']"
Solo (feat. Demi Lovato),Clean Bandit,2018-05-17,71,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
El Farsante,Ozuna,2017-08-25,77,"['cantautor', 'latin arena pop', 'latin pop']"
Sigues Con El,Arcángel,2019-12-13,69,['pop']
The One That Got Away,Katy Perry,2012-03-12,73,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Focus,Ariana Grande,2015-10-30,65,"['filmi', 'modern bollywood', 'sufi']"
Historia de Taxi,Ricardo Arjona,1994-04-14,69,['pop']
Yellow,Coldplay,2000-07-10,92,"['permanent wave', 'pop']"
Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,2008-11-06,72,['movie tunes']
Boomerang,JoJo Siwa,2016-05-06,57,"['australian rock', 'hard rock', 'rock']"
Back In Black,AC/DC,1980-07-25,85,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
My Only One (No Hay Nadie Más),Sebastian Yatra,2018-07-27,65,['pop']
Memories,Maroon 5,2021-06-11,86,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
When I'm Gone,Eminem,2005-12-06,61,['k-pop']
23,Mike WiLL Made-It,2013-01-01,71,"['detroit hip hop', 'hip hop', 'rap']"
SOLO,JENNIE,2021-06-01,59,"['britpop', 'permanent wave', 'rock', 'shoegaze']"
Wiggle (feat. Snoop Dogg),Jason Derulo,2013-09-10,66,"['glam metal', 'rock']"
Bum Bum (Brasilero),El Aleex Deejay,2022-06-23,31,"['dance pop', 'pop']"
Always,Bon Jovi,1994-10-18,77,"['barbadian pop', 'pop', 'urban contemporary']"
Bitter Sweet Symphony,The Verve,2004-01-01,61,[]
Umbrella,Rihanna,2008-06-02,86,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Que Tire Pa Lante,Daddy Yankee,2019-10-18,67,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
We Can't Stop,Miley Cyrus,2013-10-04,80,"['latin pop', 'pop venezolano', 'reggaeton', 'urbano latino']"
Desconocidos,Mau y Ricky,2019-05-03,74,['pop']
Taboo,Don Omar,2010-01-01,72,"['filmi', 'indian instrumental', 'modern bollywood']"
"Sajna, Say Yes To The Dress",Badshah,2023-01-20,72,"['desi pop', 'filmi', 'modern bollywood']"
Khairiyat,Pritam,2019-08-31,77,"['desi hip hop', 'desi trap', 'filmi', 'modern bollywood']"
Leja Re,Tanishk Bagchi,2018-11-24,65,['bhojpuri pop']
Part Of Me,Katy Perry,2012-03-12,77,"['pop', 'pop r&b']"
Cheap Thrills,Sia,2016-01-29,80,['pop']
Hello Koun,Ritesh Pandey,2020-02-13,13,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
Better,Khalid,2018-09-14,69,"['australian dance', 'australian pop', 'pop']"
Dil Laga Liya Maine,Alka Yagnik,2002-09-06,61,"['filmi', 'hare krishna', 'modern bollywood']"
Ya No Tiene Novio,Sebastian Yatra,2018-08-10,72,['alternative metal']
"Después de Ti, ¿Quién?",La Adictiva,2014-07-29,64,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
My Immortal - Band Version,Evanescence,2003-03-04,62,"['banda', 'musica mexicana', 'norteno']"
Party In The U.S.A.,Miley Cyrus,2009-01-01,84,['pop']
Blood Sweat & Tears,BTS,2016-10-10,74,"['melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'trap']"
Black Beatles,Rae Sremmurd,2016-08-12,77,"['k-pop', 'k-pop boy group', 'pop']"
"Swag Se Swagat (From ""Tiger Zinda Hai"")",Neha Bhasin,2020-04-26,9,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']"
"Aankh Marey (From ""Simmba"")",Neha Kakkar,2018-12-06,65,"['filmi', 'modern bollywood']"
Say It Right,Nelly Furtado,2006-01-01,83,"['alternative metal', 'nu metal', 'rap metal', 'rock']"
"Agua - Music From ""Sponge On The Run"" Movie",Tainy,2023-07-21,10,"['album rock', 'glam metal', 'hard rock', 'soft rock']"
The Sound of Silence,Disturbed,2015-08-21,73,"['filmi', 'modern bollywood']"
Eye of the Tiger,Survivor,1985,78,"['r&b', 'soul']"
Thriller,Michael Jackson,2008-02-08,76,"['canadian latin', 'canadian pop', 'dance pop', 'pop']"
Don't You Worry Child,Swedish House Mafia,2012-01-01,63,"['edm', 'pop dance', 'progressive electro house']"
Kala Chashma,Prem,2016-08-04,64,[]
Single Ladies (Put a Ring on It),Beyoncé,2008,71,"['pop', 'r&b']"
Djadja,Aya Nakamura,2018-11-02,70,"['basshall', 'pop urbaine', 'r&b francais']"
Soltera (Remix),Lunay,2019-10-25,75,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']"
Royals,Lorde,2013-09-27,83,"['pop', 'pop r&b']"
Young Dumb & Broke,Khalid,2017-04-27,82,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Lucid Dreams,Juice WRLD,2018-12-10,86,"['chicago rap', 'melodic rap', 'rap']"
HUMBLE.,Kendrick Lamar,2017-04-14,86,"['art pop', 'metropopolis', 'nz pop', 'pop']"
Largado As Traças - Acústico,Zé Neto & Cristiano,2018-03-14,60,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
Africa,TOTO,1982-04-08,86,[]
Saber Quem Sou,Any Gabrielly,2016-12-09,59,['k-pop']
Phir Bhi Tumko Chaahunga,Mithoon,2023-05-26,26,"['barbadian pop', 'pop', 'urban contemporary']"
MONEY,LISA,2021-09-10,85,"['filmi', 'modern bollywood']"
Man Down,Rihanna,2010-11-16,72,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']"
Creep,Radiohead,1993-02-22,89,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,2018-06-15,75,['pop']
Bangarang (feat. Sirah),Skrillex,2011-12-27,72,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']"
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte),Pitbull,2014-11-21,72,"['pop', 'singer-songwriter pop', 'uk pop']"
Only Girl (In The World),Rihanna,2010-11-16,74,"['barbadian pop', 'pop', 'urban contemporary']"
Shape of You,Ed Sheeran,2017-03-03,88,"['k-pop', 'k-pop boy group', 'pop']"
Trem da Alegria,Yasmin Verissimo,2018-12-31,31,"['dance pop', 'miami hip hop', 'pop']"
"Adrenalina (In The Style Of Wisin, Jennifer Lopez & Ricky Martin) - Tribute Version",Brava HitMakers,2014-03-26,2,[]
Call Out My Name,The Weeknd,2018-03-30,88,['musica infantil']
The Nights,Avicii,2014-01-01,87,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Butter,BTS,2021-06-04,71,"['dance pop', 'edm', 'pop', 'pop dance']"
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,2010-05-28,69,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
Mockingbird,Eminem,2004-11-12,90,"['german pop', 'modern rock']"
Stolen Dance,Milky Chance,2013-05-31,82,"['detroit hip hop', 'hip hop', 'rap']"
Mi Santa (feat. Tomatito),Romeo Santos,2012-08-27,73,"['filmi', 'hare krishna', 'modern bollywood']"
Humnava Mere,Jubin Nautiyal,2018-05-23,74,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']"
Whatever It Takes,Imagine Dragons,2017-06-23,84,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
The Monster,Eminem,2013-11-05,81,['punjabi pop']
Sensualidad (feat. Kirsa Moonlight),Mocean,2023-06-02,27,"['detroit hip hop', 'hip hop', 'rap']"
Candy Shop,50 Cent,2005-03-03,83,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
One Kiss (with Dua Lipa),Calvin Harris,2018-04-06,86,"['modern rock', 'pop', 'rock']"
Titliaan,Afsana Khan,2020-11-09,61,[]
goosebumps,Travis Scott,2016-09-16,87,"['hip hop', 'rap', 'slap house']"
"Prem Ratan Dhan Payo (From ""Prem Ratan Dhan Payo"")",Palak Muchhal,2017-06-07,9,"['filmi', 'modern bollywood']"
Me Enamoré,Shakira,2017-05-26,68,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
Te Vas,Ozuna,2017-05-01,63,['pop']
International Love (feat. Chris Brown),Pitbull,2017-12-01,60,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
Wildest Dreams,Taylor Swift,2014-01-01,81,"['dance pop', 'miami hip hop', 'pop']"
Bonbon,Era Istrefi,2016-07-21,59,"['british soul', 'pop', 'pop soul', 'uk pop']"
when the party's over,Billie Eilish,2019-03-29,85,"['albanian hip hop', 'albanian pop', 'kosovan pop']"
11 PM,Maluma,2019-05-17,77,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']"
Send My Love (To Your New Lover),Adele,2015-11-20,76,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Firestone - Live Acoustic Version,Kygo,2015-01-30,57,"['edm', 'pop', 'pop dance', 'tropical house']"
Sweet but Psycho,Ava Max,2020-09-18,86,"['r&b', 'soul']"
Smooth Criminal - 2012 Remaster,Michael Jackson,2012-09-18,77,['pop']
Cuando Te Besé,Becky G,2018-08-02,69,"['art pop', 'pop']"
Flor Pálida,Marc Anthony,2013-07-23,74,"['latin pop', 'modern salsa', 'salsa', 'tropical']"
Dile Que Tu Me Quieres,Ozuna,2017-08-25,77,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
8 Parche,Baani Sandhu,2019-09-12,67,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
This Is America,Childish Gambino,2018-05-06,71,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
"Galti Se Mistake (From ""Jagga Jasoos"")",Pritam,2017-06-13,54,"['dance pop', 'pop']"
Esperándote,Manuel Turizo,2019-08-23,69,"['melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'trap']"
The Real Slim Shady,Eminem,2000-05-23,89,"['musica mexicana', 'nu-cumbia']"
El Color de Tus Ojos,Banda MS de Sergio Lizárraga,2017-04-21,78,"['banda', 'musica mexicana', 'norteno']"
Satisfya,Imran Khan,2013-05-09,70,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
Animals,Maroon 5,2015-05-18,73,"['k-pop', 'k-pop girl group', 'pop']"
Tú Foto,Ozuna,2017-08-25,74,['punjabi pop']
PROVENZA,KAROL G,2022-04-22,79,"['atl hip hop', 'hip hop', 'rap']"
Oye Mujer,Raymix,2018-02-07,71,"['filmi', 'indian instrumental', 'modern bollywood']"
...Baby One More Time,Britney Spears,1999-01-12,82,"['desi hip hop', 'desi pop', 'desi trap', 'modern bollywood', 'pakistani hip hop']"
No Type,Rae Sremmurd,2015-01-06,73,"['detroit hip hop', 'hip hop', 'rap']"
TQG,KAROL G,2023-02-23,75,['pop']
I Don't Want to Talk About It,Rod Stewart,2008-11-16,57,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Nikle Currant,Jassie Gill,2018-10-12,62,"['desi pop', 'modern bollywood']"
Me Llamas (feat. Maluma) - Remix,Piso 21,2016-12-02,75,"['reggaeton', 'trap latino', 'urbano latino']"
Ice Cream (with Selena Gomez),BLACKPINK,2020-10-02,69,"['nyc rap', 'rap', 'trap']"
Badri Ki Dulhania (Title Track),Dev Negi,2017-02-14,63,"['filmi', 'modern bollywood']"
